===DUMP 1 1784239080.842018733===
Process 264449: /home/aaron/Dev/Research/DatabaseResearch/JaseciFork/jac/zig-out/bin/jac start -p 8000
Python v3.14.6 (/home/aaron/Dev/Research/DatabaseResearch/JaseciFork/jac/zig-out/bin/jac)

Thread 264449 (active+gil)
    _serialize_attrs (serializer.impl.jac:25)
    _serialize_value (serializer.impl.jac:191)
    _serialize_value (serializer.impl.jac:85)
    _serialize_value (serializer.impl.jac:92)
    serialize (serializer.impl.jac:63)
    _finalize_call_response (server.impl.jac:366)
    run_attempt (server.jac:514)
    _run_function_with_occ (server.jac:408)
    spawn_walker_sync (server.impl.jac:516)
    spawn_walker (server.impl.jac:489)
    callback (serve.jac:124)
    endpoint_wrapper (<string>:11)
    run_endpoint_function (fastapi/routing.py:290)
    app (fastapi/routing.py:391)
    app (fastapi/routing.py:111)
    wrapped_app (starlette/_exception_handler.py:42)
    app (fastapi/routing.py:125)
    handle (starlette/routing.py:290)
    app (starlette/routing.py:736)
    __call__ (starlette/routing.py:716)
    __call__ (fastapi/middleware/asyncexitstack.py:18)
    wrapped_app (starlette/_exception_handler.py:42)
    __call__ (starlette/middleware/exceptions.py:63)
    coro (starlette/middleware/base.py:144)
    _run_coro (anyio/_core/_tasks.py:275)
    run (asyncio/runners.py:128)
    run (asyncio/runners.py:205)
    run (uvicorn/server.py:67)
    run_server (jfast_api.impl.jac:212)
    start (serve.core.impl.jac:312)
    start (execution.impl.jac:746)
    run_handler (executor.impl.jac:49)
    execute (executor.impl.jac:14)
    start_cli (cli.impl.jac:129)
    start_cli (jaclang/jac0core/cli_boot.jac:90)
    <module> (<string>:10)
Thread 264510 (idle)
    recv_into (pymongo/network_layer.py:469)
    receive_data (pymongo/network_layer.py:353)
    receive_message (pymongo/network_layer.py:759)
    receive_message (pymongo/synchronous/pool.py:456)
    _next_reply (pymongo/synchronous/pool.py:336)
    _check_with_socket (pymongo/synchronous/monitor.py:360)
    _check_once (pymongo/synchronous/monitor.py:326)
    _check_server (pymongo/synchronous/monitor.py:260)
    _run (pymongo/synchronous/monitor.py:214)
    target (pymongo/synchronous/monitor.py:80)
    _run (pymongo/periodic_executor.py:236)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264511 (idle)
    _run (pymongo/periodic_executor.py:252)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264513 (idle)
    _run (pymongo/periodic_executor.py:252)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264522 (idle)
    recv_into (pymongo/network_layer.py:469)
    receive_data (pymongo/network_layer.py:353)
    receive_message (pymongo/network_layer.py:759)
    receive_message (pymongo/synchronous/pool.py:456)
    _next_reply (pymongo/synchronous/pool.py:336)
    _check_with_socket (pymongo/synchronous/monitor.py:360)
    _check_once (pymongo/synchronous/monitor.py:326)
    _check_server (pymongo/synchronous/monitor.py:260)
    _run (pymongo/synchronous/monitor.py:214)
    target (pymongo/synchronous/monitor.py:80)
    _run (pymongo/periodic_executor.py:236)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264523 (idle)
    _run (pymongo/periodic_executor.py:252)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264525 (idle)
    _run (pymongo/periodic_executor.py:252)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264850 (idle)
    wait (threading.py:369)
    get (queue.py:199)
    run (anyio/_backends/_asyncio.py:1022)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 264912 (idle)
    _worker (concurrent/futures/thread.py:116)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
Thread 277741 (idle)
    _worker (concurrent/futures/thread.py:116)
    run (threading.py:1024)
    _bootstrap_inner (threading.py:1082)
    _bootstrap (threading.py:1044)
===DUMP 2 1784239081.192238146===
Process 264449: /home/aaron/Dev/Research/DatabaseResearch/JaseciFork/jac/zig-out/bin/jac start -p 8000
Python v3.14.6 (/home/aaron/Dev/Research/DatabaseResearch/JaseciFork/jac/zig-out/bin/jac)

Thread 264449 (active+gil)
    __getattr__ (starlette/datastructures.py:685)
    callback (serve.jac:113)
    endpoint_wrapper (<string>:11)
    run_endpoint_function (fastapi/routing.py:290)
    app (fastapi/routing.py:391)
    app (fastapi/routing.py:111)
    wrapped_app (starlette/_exception_handler.py:42)
    app (fastapi/routing.py:125)
    handle (starlette/routing.py:290)
    app (starlette/routing.py:736)
    __call__ (starlette/routing.py:716)
    __call__ (fastapi/middleware/asyncexitstack.py:18)
    wrapped_app (starlette/_exception_handler.py:42)
    __call__ (starlette/middleware/exceptions.py:63)
    coro (starlette/middleware/base.py:144)
    _run_coro (anyio/_core/_tasks.py:275)
    run (asyncio/runners.py:128)
    run (asyncio/runners.py:205)
    run (uvicorn/server.py:67)
    run_server (jfast_api.impl.jac:212)
    start (serve.core.impl.jac:312)
    start (execution.impl.jac:746)
    run_handler (executor.impl.jac:49)
    execute (executor.impl.jac:14)
    start_cli (cli.impl.jac:129)
    start_cli (jaclang/jac0core/cli_boot.jac:90)
    <module> (<string>:10)
Thread 264510 (idle)
    recv_into (pymongo/network_layer.py:469)
    receive_data (pymongo/network_layer.py:353)
    receive_message (pymongo/network_layer.py:759)
    receive_message (pymongo/synchronous/pool.py:456)
    _next_reply (pymongo/synchronous/pool.py:336)
